sortOrder,spanishLemma,spanishWithArticle
57,vez,la vez
72,día,el día
73,año,el año
74,padre,el padre
77,gracias,las gracias
78,cosa,la cosa
84,señor,el señor
86,hombre,el hombre
87,tiempo,el tiempo
91,casa,la casa
102,verdad,la verdad
105,vida,la vida
112,chico,el chico
115,noche,la noche
117,hijo,el hijo
121,favor,el favor
124,amigo,el amigo
127,hecho,el hecho
128,papá,el papá
136,trabajo,el trabajo
137,mujer,la mujer
140,parte,la parte
142,acuerdo,el acuerdo
144,momento,el momento
148,mundo,el mundo
149,gente,la gente
150,niño,el niño
151,hora,la hora
153,problema,el problema
155,lugar,el lugar
161,persona,la persona
162,tipo,el tipo
174,dinero,el dinero
175,mañana,la mañana
176,hermano,el hermano
184,mano,la mano
186,caso,el caso
187,nombre,el nombre
189,forma,la forma
199,cuenta,la cuenta
200,razón,la razón
203,idea,la idea
209,pasado,el pasado
211,semana,la semana
217,familia,la familia
227,país,el país
229,minuto,el minuto
230,mierda,la mierda
236,historia,la historia
237,amor,el amor
238,lado,el lado
241,manera,la manera
242,cabeza,la cabeza
243,punto,el punto
249,mes,el mes
250,ciudad,la ciudad
257,tío,el tío
258,puerta,la puerta
259,palabra,la palabra
260,ojo,el ojo
261,agua,el agua
262,medio,el medio
267,loco,el loco
271,fin,el fin
273,camino,el camino
274,esposo,el esposo
277,pregunta,la pregunta
281,muerte,la muerte
282,millón,el millón
285,realidad,la realidad
290,equipo,el equipo
292,ayuda,la ayuda
293,cuerpo,el cuerpo
294,jefe,el jefe
295,presidente,el presidente
298,supuesto,el supuesto
300,gobierno,el gobierno
304,viejo,el viejo
305,tierra,la tierra
306,número,el número
309,final,el final
311,grupo,el grupo
312,guerra,la guerra
313,cariño,el cariño
317,clase,la clase
319,arma,el arma
324,cara,la cara
329,juego,el juego
334,doctor,el doctor
335,corazón,el corazón
337,adiós,el adiós
341,suerte,la suerte
343,libro,el libro
348,luz,la luz
351,miedo,el miedo
352,modo,el modo
353,relación,la relación
354,cambio,el cambio
356,derecho,el derecho
360,prueba,la prueba
364,sentido,el sentido
366,perro,el perro
368,vuelta,la vuelta
372,coche,el coche
378,fuerza,la fuerza
379,sistema,el sistema
386,paso,el paso
390,plan,el plan
391,calle,la calle
392,pueblo,el pueblo
393,cuidado,el cuidado
396,partido,el partido
399,fiesta,la fiesta
404,pie,el pie
407,escuela,la escuela
408,sangre,la sangre
409,oportunidad,la oportunidad
410,muchacho,el muchacho
412,situación,la situación
413,política,la política
414,ley,la ley
416,teléfono,el teléfono
422,servicio,el servicio
423,novio,el novio
427,puesto,el puesto
428,dólar,el dólar
432,recuerdo,el recuerdo
435,seguridad,la seguridad
438,obra,la obra
442,película,la película
444,lista,la lista
449,vino,el vino
450,centro,el centro
451,asunto,el asunto
453,embargo,el embargo
455,información,la información
456,habitación,la habitación
458,falta,la falta
459,cielo,el cielo
462,negocio,el negocio
463,sueño,el sueño
466,capitán,el capitán
467,comida,la comida
468,bebé,el bebé
470,voz,la voz
471,foto,la foto
473,par,el par
474,paz,la paz
477,culpa,la culpa
480,noticia,la noticia
483,música,la música
484,diablo,el diablo
485,resto,el resto
488,médico,el médico
489,carta,la carta
491,don,el don
493,programa,el programa
495,sitio,el sitio
496,campo,el campo
512,cama,la cama
515,abuelo,el abuelo
516,viaje,el viaje
517,demonio,el demonio
525,oficina,la oficina
528,acción,la acción
529,línea,la línea
530,agente,el agente
532,papel,el papel
534,aire,el aire
536,puta,la puta
537,principio,el principio
539,empresa,la empresa
541,director,el director
542,través,el través
544,ejemplo,el ejemplo
545,amo,el amo
546,rey,el rey
547,cuarto,el cuarto
555,decisión,la decisión
557,control,el control
559,hospital,el hospital
560,marido,el marido
561,fuego,el fuego
562,tema,el tema
563,respuesta,la respuesta
564,nivel,el nivel
566,estudio,el estudio
567,secreto,el secreto
568,mensaje,el mensaje
569,resultado,el resultado
570,error,el error
571,futuro,el futuro
574,compañero,el compañero
578,atención,la atención
579,zona,la zona
580,vista,la vista
583,edad,la edad
588,abogado,el abogado
590,dirección,la dirección
597,fondo,el fondo
600,señorito,el señorito
603,compañía,la compañía
606,proceso,el proceso
607,investigación,la investigación
609,café,el café
610,duda,la duda
613,estado,el estado
615,ropa,la ropa
616,valor,el valor
617,profesor,el profesor
618,reunión,la reunión
619,boca,la boca
621,cámara,la cámara
623,espacio,el espacio
625,imagen,la imagen
628,cargo,el cargo
629,caballero,el caballero
631,posibilidad,la posibilidad
634,universidad,la universidad
638,consejo,el consejo
639,asesino,el asesino
643,daño,el daño
644,sociedad,la sociedad
645,base,la base
646,proyecto,el proyecto
648,mesa,la mesa
649,paciente,el paciente
654,movimiento,el movimiento
659,maestro,el maestro
661,carrera,la carrera
662,caballo,el caballo
663,siglo,el siglo
664,perdón,el perdón
665,pena,la pena
669,banco,el banco
671,mayoría,la mayoría
672,miembro,el miembro
673,condición,la condición
674,efecto,el efecto
677,brazo,el brazo
678,ministro,el ministro
679,libertad,la libertad
680,asesinato,el asesinato
685,interés,el interés
687,animal,el animal
690,sol,el sol
692,color,el color
693,caja,la caja
694,cliente,el cliente
696,víctima,la víctima
697,deseo,el deseo
698,arte,el arte
701,causa,la causa
702,cita,la cita
703,trato,el trato
709,hotel,el hotel
710,estrella,la estrella
711,sexo,el sexo
715,dolor,el dolor
716,mitad,la mitad
718,gusto,el gusto
719,canción,la canción
722,baño,el baño
725,objetivo,el objetivo
727,respecto,el respecto
728,salud,la salud
731,sal,la sal
732,mente,la mente
733,suelo,el suelo
735,posición,la posición
736,medida,la medida
737,especie,la especie
739,diferencia,la diferencia
741,precio,el precio
744,pelo,el pelo
747,opinión,la opinión
750,mercado,el mercado
752,elección,la elección
753,interior,el interior
754,silencio,el silencio
755,necesidad,la necesidad
756,odio,el odio
757,experiencia,la experiencia
758,actividad,la actividad
760,droga,la droga
762,accidente,el accidente
763,club,el club
764,ejército,el ejército
765,mar,el mar
766,ataque,el ataque
768,contacto,el contacto
770,alma,el alma
772,soldado,el soldado
773,llave,la llave
774,energía,la energía
775,barco,el barco
778,juez,el juez
781,río,el río
782,tienda,la tienda
785,avión,el avión
786,dulce,el dulce
789,operación,la operación
790,encuentro,el encuentro
791,fuente,la fuente
792,informe,el informe
793,izquierda,la izquierda
794,pierna,la pierna
795,sala,la sala
801,señal,la señal
804,muestra,la muestra
805,nota,la nota
806,derecha,la derecha
807,escena,la escena
813,metro,el metro
814,entrada,la entrada
815,regalo,el regalo
816,edificio,el edificio
817,enfermedad,la enfermedad
818,traje,el traje
826,disculpa,la disculpa
836,cena,la cena
838,desarrollo,el desarrollo
842,cuestión,la cuestión
845,dato,el dato
846,motivo,el motivo
848,crimen,el crimen
849,flor,la flor
850,boda,la boda
852,unidad,la unidad
853,montón,el montón
854,éxito,el éxito
855,haz,el haz
856,peligro,el peligro
857,golpe,el golpe
865,producto,el producto
867,carne,la carne
868,placer,el placer
869,ventana,la ventana
874,oro,el oro
879,lamento,el lamento
881,acto,el acto
882,cárcel,la cárcel
885,enemigo,el enemigo
888,hambre,el hambre
889,departamento,el departamento
890,piso,el piso
892,espalda,la espalda
893,vestido,el vestido
896,norte,el norte
898,aspecto,el aspecto
900,visita,la visita
905,broma,la broma
906,sorpresa,la sorpresa
907,juicio,el juicio
908,defensa,la defensa
911,regla,la regla
912,comunidad,la comunidad
913,intento,el intento
914,cantidad,la cantidad
921,nave,la nave
922,riesgo,el riesgo
923,justicia,la justicia
926,salida,la salida
928,tren,el tren
929,serie,la serie
930,sector,el sector
937,uso,el uso
939,cabo,el cabo
941,corte,el corte
943,dedo,el dedo
946,esperanza,la esperanza
947,peso,el peso
948,opción,la opción
949,época,la época
952,rato,el rato
953,testigo,el testigo
955,ocasión,la ocasión
956,área,el área
957,detective,el detective
959,matrimonio,el matrimonio
961,árbol,el árbol
962,destino,el destino
963,frío,el frío
964,objeto,el objeto
967,sur,el sur
974,cine,el cine
981,marcha,la marcha
982,misión,la misión
983,cocina,la cocina
984,isla,la isla
985,enfermo,el enfermo
989,sentimiento,el sentimiento
994,prensa,la prensa
995,actor,el actor
999,organización,la organización
