sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
1,de,from,"[""of"", ""from"", ""about"", ""than"", ""used to construct compound nouns"", ""indicates a conditional desire"", ""forms adverbs"", ""indicates the purpose of an object""]",prep,24459038
2,ella,"she, her","[""she, her"", ""it""]",pron,20081793
3,que,that,"[""that"", ""than"", ""indicates reason"", ""indicates desire or permission"", ""indicates emphasis or repetitive answer"", ""who""]",pron,19102844
4,el,feminine singular definite article used before nouns which start with a stressed /a/:,"[""masculine singular definite article"", ""feminine singular definite article used before nouns which start with a stressed /a/:""]",art,17788728
5,ser,to be,"[""to be"", ""to exist"", ""a being, organism"", ""nature, essence"", ""value, worth""]",v,16833200
6,a,,[],none,12810585
7,y,and,"[""and"", ""plus, and"", ""well"", ""what about, how about, and, where is/are the""]",conj,11309024
8,en,"in, at, on","[""in, at, on"", ""in"", ""used after some verbs and translated by various prepositions in English""]",prep,11051605
9,él,"he, him, masculine personal third person subject and disjunctive pronoun","[""he, him, masculine personal third person subject and disjunctive pronoun"", ""it, masculine non-personal third-person subject and disjunctive pronoun""]",pron,10233257
10,estar,to be,"[""to be"", ""to be in a state"", ""to be, stay"", ""to be [+por ]"", ""to be in a long-term state""]",v,7920799
11,uno,one,"[""one""]",num,7794471
12,haber,to have to [+de ],"[""have"", ""to hold, to possess"", ""to exist"", ""to have to [+de ]"", ""to be necessary [+que ]"", ""used to denote a past obligation"", ""asset"", ""history""]",v,6560815
13,yo,Freud's concept of the ego,"[""first-person singular pronoun in the nominative case"", ""Freud's concept of the ego""]",pron,6385698
14,por,for,"[""by"", ""for"", ""through, out, via"", ""across"", ""about"", ""due to, because of, for, for the sake of, out of"", ""over"", ""times, by, multiplied by""]",prep,6016577
16,tener,to make to feel,"[""to have"", ""to hold"", ""to contain"", ""to make to feel"", ""to have to [+que ]"", ""to get"", ""to keep"", ""to make""]",v,5264237
17,se,"misspelling of ""sé","[""A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself"", ""A pronoun used with transitive verbs to create the passive voice"", ""A pronoun used with a verb conjugated in the third-person singular to convey an impersonal meaning"", ""Used to third person subjunctive moods to form an impersonal imperative"", ""used instead of indirect object pronouns le and les before the direct object pronouns lo, la, los, or las"", ""misspelling of \""sé""]",pron,5080634
18,ir,to go,"[""to go"", ""to be suitable or apt for its purpose, to match or suit well"", ""to head towards or lead to a place away from the speaker"", ""to extend in time or space, from one point to another"", ""to play"", ""to approach or consider from a specific angle, or to direct attention towards a particular goal"", ""denotes an ongoing action with a sense of progression or movement through space or time"", ""an action or process is beginning to occur or unfold""]",v,4809379
19,tú,second person pronoun in singular tense,"[""second person pronoun in singular tense""]",pron,4615774
20,con,with,"[""with"", ""on""]",prep,4509652
21,qué,how,"[""what"", ""what a"", ""how""]",pron,4351664
22,suyo,theirs,"[""his, hers, its"", ""theirs"", ""yours"", ""his, hers, its, to her"", ""theirs, their, to them"", ""yours, your, to you""]",determiner,4121086
23,hacer,to do,"[""to do"", ""to make"", ""to be"", ""to go )"", ""to play"", ""to become"", ""to pretend being, play"", ""ellipsis of \""hacerse el tonto""]",v,4117315
24,poder,"to be able to, can","[""to be able to, can"", ""to be familiar with something, or with someone's personality"", ""power"", ""proxy"", ""authorization""]",v,3989371
25,para,for,"[""for, to"", ""to, in order to, so, for"", ""by, due, due on, due by"", ""for"", ""for, to, in one's opinion, as far as one is concerned"", ""come""]",prep,3894308
26,del,"of the, from the","[""of the, from the""]",contraction,3505097
27,decir,to suggest,"[""to say, to tell"", ""to suggest"", ""to show"", ""to call"", ""to be said, to say"", ""to declare"", ""saying"", ""idle talk""]",v,3481333
28,este,this,"[""this"", ""alternative spelling of \""éste"", ""uh, well"", ""east""]",determiner,2989065
29,todo,everything,"[""all"", ""each"", ""everything""]",determiner,2975754
30,mío,mine,"[""mine"", ""mine, my""]",determiner,2824214
31,pero,but,"[""but"", ""well well"", ""expresses surprise""]",conj,2819996
32,si,"if, whether","[""if, whether"", ""points out a contradiction""]",conj,2676145
33,querer,to love each other,"[""to desire, to want, to want to"", ""to love"", ""would you ... ?"", ""to mean to, to try to"", ""to love each other"", ""love""]",v,2669267
34,al,"contraction of ""el","[""contraction of \""el""]",contraction,2500543
35,sí,yes,"[""yes"", ""A syntactic marker for emphasis or to replace an earlier verb, allowing the speaker to avoid repeating the verb, both similar to English do"", ""hello"", ""prepositional form of se""]",pron,2459145
36,como,how,"[""as"", ""like, about"", ""as, since"", ""how"", ""if, unless"", ""such as"", ""like""]",conj,2404116
37,ése,that one,"[""that one"", ""the former"", ""dude, guy, pal, man, buddy""]",pron,2217507
38,bien,well,"[""well"", ""properly"", ""willingly"", ""very"", ""as well"", ""well-to-do"", ""exclusive"", ""good""]",adv,2176247
39,más,furthermore,"[""more"", ""most"", ""furthermore"", ""in addition"", ""else"", ""used with qué to express emphasis"", ""more, any more"", ""plus""]",adv,2165223
40,ver,to watch,"[""to see, to spot"", ""to see, to look at, to view"", ""to see, to tell, to observe"", ""to see, to check"", ""to watch"", ""to look, to seem"", ""to see oneself, to picture oneself"", ""to find oneself, to be""]",v,2102216
41,tuyo,yours,"[""yours"", ""yours, your""]",determiner,1949499
42,saber,to taste,"[""to know, to understand"", ""to know how to do something"", ""to find out, to learn"", ""to taste"", ""to realize, to know"", ""to tell, to know"", ""to figure out"", ""to hear from [+de ]""]",v,1890762
43,bueno,good,"[""good"", ""fine"", ""okay"", ""well"", ""expression used when answering the phone, often with the pronunciation /bweˈno/, rather than /ˈbweno/"", ""Said when one is about to say goodbye/end a conversation"", ""hello""]",adj,1864980
44,ese,that,"[""that"", ""hello"", ""alternative spelling of \""ése""]",determiner,1807688
45,aquí,here,"[""here""]",adv,1757245
46,éste,this one,"[""this one""]",pron,1593697
47,nosotros,ourselves,"[""we"", ""ourselves""]",pron,1443869
48,creer,to believe,"[""to believe"", ""to think, to believe, to reckon, to be of the opinion"", ""to give credence to"", ""to think one is something""]",v,1435943
49,ya,yet,"[""now , anymore, no longer"", ""indicates the completion of an action"", ""yet"", ""already"", ""at some point in the future, later, eventually, soon, then, afterwards"", ""immediately"", ""only"", ""first then""]",adv,1389542
50,o,Name of the letter O,"[""Name of the letter O"", ""or"", ""either … or"", ""where""]",conj,1386260
51,dar,to hand over,"[""to give, to give out"", ""to hand over"", ""to hit [+en ]"", ""to hit oneself, bump into, crash into [+con or contra]"", ""to encounter"", ""to emit"", ""to produce"", ""to perform""]",v,1363983
52,deber,to owe,"[""to owe"", ""must, to need to, to have to"", ""should, to ought to, to be supposed to, to be to"", ""should have"", ""shall"", ""to be due to, to be attributable to, to be the result of, to be caused by"", ""probably or most likely do or happen something"", ""obligation, duty""]",v,1328549
53,mucho,very,"[""much, a lot of"", ""many, a lot of"", ""much, a lot, far, way"", ""very"", ""long, a long time"", ""a lot, many""]",adv,1294788
54,otro,"other, another","[""other, another"", ""Not again!\"" or \""What, again?"", ""someone else"", ""something else""]",determiner,1270535
